Zeitstempel,Nickname,"1st Number (from 1,000 to 9,999,999)","2nd Number (from 1,000 to 9,999,999)","3rd Number (from 1,000 to 9,999,999)",,Average number
09.03.2026 22:45:48,Miguel,4516732,3267174,251435,,
09.03.2026 22:47:32,ADMIN_1,12636,266437,1774732,,
09.03.2026 22:47:53,ADMIN_2,67273,29944,367271,,
09.03.2026 22:54:51,ADMIN_3,26772,277271,7372881,,
10.03.2026 08:44:11,Gijs Slooter,6391,772951,7193749,,
10.03.2026 08:46:10,Johannes TUDa,1996,2606,1312,,
10.03.2026 08:46:28,JohannesK,5555555,6666666,567890,,
10.03.2026 08:47:54,Samed,1000,1001,1002,,
10.03.2026 08:59:19,Bless,6899,8634,57324,,
10.03.2026 09:57:23,Bartek,732788,2137,14516,,
10.03.2026 10:41:56,Vusal,12000,120000,1200000,,
10.03.2026 10:41:57,IRONMAN,1111,1313,2222,,
10.03.2026 12:04:23,David,9876543,8765432,7777777,,
10.03.2026 12:05:35,David2,3141592,3141593,3141599,,
12.03.2026 12:30:37,Profakins,4999873,5012941,1300,,
16.03.2026 14:03:40,Lenny DUB ,6777777,180401,567142,,
18.03.2026 09:05:34,Gawthem,5205747,6767676,291200,,
18.03.2026 09:08:14,Michal Sojka,9999999,9999998,185374,,
18.03.2026 09:15:45,Oklahoma,10050,50971,75865,,
18.03.2026 09:16:23,Bengisu,12376,57324,63798,,
18.03.2026 09:17:27,Kritika Boeing,99999,999999,558723,,
18.03.2026 09:18:10,Haesol,26014,18127,67581,,
18.03.2026 09:20:07,Jonna,22222,333333,444444,,
18.03.2026 09:24:01,DavidPi,924037,455881,101891,,
18.03.2026 09:24:17,ALM,7325,1309785,1313,,
18.03.2026 09:25:12,Achim,171170,220401,11194,,
18.03.2026 09:29:25,Mo,27420,939636,8418,,